DATE,HOUR,AVG_MIN_SPEED,AVG_MAX_SPEED,AVG_AVG_SPEED,AVG_VEHICLE_COUNT,ACCIDENT_COUNT,ACCIDENT_CLASS
2024-10-17,4,28.93021239705245,102.92371044646728,61.15431296055483,37.410056350238406,0,0
2024-10-17,5,24.699232081911266,103.41382252559728,58.69411262798635,79.26194539249147,0,0
2024-10-17,6,21.58833333333333,104.65041666666669,57.15125,182.51291666666663,2,1
2024-10-17,7,19.89838241393613,101.84072998755704,53.90750725839901,202.88967233513063,3,1
2024-10-17,8,19.06004140786749,100.1536231884058,51.50103519668737,176.59585921325052,2,1
2024-10-17,9,18.80074719800747,100.94603569946035,52.326276463262765,175.61975923619758,5,1
2024-10-17,10,18.510770505385253,101.97887323943662,52.98260149130075,171.05053852526927,3,1
2024-10-17,11,18.47684036393714,102.4251447477254,53.15632754342432,167.59305210918114,3,1
2024-10-17,12,19.3864294580058,101.62019031857676,53.35498551923872,166.75382705833678,0,0
2024-10-17,13,18.96435971819312,101.23829258184831,52.879403232490674,166.46498135101533,2,1
2024-10-17,14,18.836582330983,99.63749481542928,52.05765242637909,169.0804645375363,3,1
2024-10-17,15,19.02320762536262,99.56402818068794,52.34687111479486,173.78284293410692,3,1
2024-10-17,16,19.31946755407654,97.95881863560732,51.71921797004992,156.5890183028286,5,1
2024-10-17,17,18.464700996677745,97.70888704318936,50.88579734219269,184.4406146179402,1,1
2024-10-17,18,18.17735220649459,96.80141548709408,49.26311407160699,187.5212323064113,3,1
2024-10-17,19,18.892128279883384,99.28363182007496,50.92253227821741,166.71928363182008,3,1
2024-10-17,20,20.9833748960931,100.59642560266002,53.88196176226101,126.35910224438902,3,1
2024-10-17,21,21.403420942845223,100.14267834793492,54.982895285773886,109.81727158948686,2,1
2024-10-17,22,22.431380753138075,101.3836820083682,56.02761506276151,98.02468619246862,3,1
2024-10-17,23,23.969456066945607,102.39665271966528,57.63221757322176,87.26359832635983,0,0
2024-10-18,0,24.72081218274112,101.58798646362098,58.29610829103215,72.1150592216582,0,0
2024-10-18,1,26.09218351741716,99.69923534409516,58.274426508071365,45.834749362786745,0,0
2024-10-18,2,28.371416345742404,97.76936243046642,58.76679503637142,32.730423620025675,0,0
